PARENT_MOLREGNO	CHEMBL_ID	SYNONYMS	DEVELOPMENT_PHASE	RESEARCH_CODES	APPLICANTS	USAN_STEM	USAN_STEM_DEFINITION	USAN_STEM_SUBSTEM	USAN_YEAR	FIRST_APPROVAL	ATC_CODE	ATC_CODE_DESCRIPTION	INDICATION_CLASS	SC_PATENT	DRUG_TYPE	RULE_OF_FIVE	FIRST_IN_CLASS	CHIRALITY	PRODRUG	ORAL	PARENTERAL	TOPICAL	BLACK_BOX	AVAILABILITY_TYPE	WITHDRAWN_YEAR	WITHDRAWN_COUNTRY	WITHDRAWN_REASON	CANONICAL_SMILES
752797	CHEMBL1328913	"Dimetacrine (INN, MI);"	0			#NAME?	acridine derivatives	#NAME?			N06AA18	N06AA18 [NERVOUS SYSTEM: PSYCHOANALEPTICS: ANTIDEPRESSANTS: Non-selective monoamine reuptake inhibitors]			Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	N	N	N	Unknown				CN(C)CCCN1c2ccccc2C(C)(C)c3ccccc13
674419	CHEMBL1200468	"Malathion (BAN, FDA, USP);"	4		Mylan Pharmaceuticals Inc; Taro Pharmaceuticals North America Inc; Suven Life Sciences Ltd					1982	P03AX03	"P03AX03 [ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS: ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS: ECTOPARASITICIDES, INCL. SCABICIDES: Other ectoparasiticides, incl. scabicides]"	Pediculicide	US-7560445-B2	Synthetic Small Molecule	Y	N	Racemic Mixture	N	N	N	Y	N	Prescription-only				CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
675185	CHEMBL1201234	"Mephentermine (BAN, INN); Mephentermine Sulfate (FDA, USP);"	4		Baxter Healthcare Corp Anesthesia Critical Care					1951	C01CA11	C01CA11 [CARDIOVASCULAR SYSTEM: CARDIAC THERAPY: CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES: Adrenergic and dopaminergic agents]	Adrenergic (vasoconstrictor)		Synthetic Small Molecule	Y	N	Achiral Molecule	N	N	Y	N	N	Discontinued				CNC(C)(C)Cc1ccccc1
674883	CHEMBL1200932	"Iopamidol (BAN, FDA, INN, JAN, USAN, USP);"	4	SQ-13396	"Hospira Worldwide, Inc; Mylan Institutional Llc; Fresenius Kabi Usa Llc; Baxter Healthcare Corp Anesthesia And Critical Care; Hospira Inc; Abbvie Inc; Cook Imaging Corp; Bracco Diagnostics Inc"	io-	iodine-containing contrast media	io-	1979	1985	V08AB04	"V08AB04 [VARIOUS: CONTRAST MEDIA: X-RAY CONTRAST MEDIA, IODINATED: Watersoluble, nephrotropic, low osmolar X-ray contrast media]"	Diagnostic Aid (radiopaque medium)		Synthetic Small Molecule	N	N	Single Stereoisomer	N	N	Y	N	N	Prescription-only				C[C@H](O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I
674890	CHEMBL1200939	"Ammonium Chloride (FDA, JAN, USP);"	4		Abbott Laboratories Pharmaceutical Products Div; Hospira Inc; B Braun Medical Inc; Gd Searle Llc; Mcgaw Inc	#NAME?	quaternary ammonium derivatives	#NAME?			G04BA01; B05XA04	G04BA01 [GENITO URINARY SYSTEM AND SEX HORMONES: UROLOGICALS: UROLOGICALS: Acidifiers]; B05XA04 [BLOOD AND BLOOD FORMING ORGANS: BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS: I.V. SOLUTION ADDITIVES: Electrolyte solutions]	Acidifier; Diuretic		Synthetic Small Molecule	N	N	Unknown	N	N	Y	N	N	Prescription-only				[NH4+].[Cl-]
674796	CHEMBL1200845	"Halcinonide (BAN, FDA, INN, JAN, USAN, USP);"	4	SO-18566; SQ-18566	Bristol Myers Squibb; Ranbaxy Laboratories Inc; Westwood Squibb Pharmaceuticals Inc	#NAME?	topical steroids (acetal derivatives)	#NAME?	1973	1974	D07AD02	"D07AD02 [DERMATOLOGICALS: CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS: CORTICOSTEROIDS, PLAIN: Corticosteroids, very potent (group IV)]"	Anti-Inflammatory (topical)		Natural Product-derived	Y	N	Single Stereoisomer	N	N	N	Y	N	Prescription-only				CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)CC[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CCl
675090	CHEMBL1201139	"Megestrol (BAN, INN); Megestrol Acetate (FDA, USAN, USP);"	4	BDH-1298; 5071; SC-10363	Teva Pharmaceuticals Usa; Par Pharmaceutical Inc; Barr Laboratories Inc; Apotex Inc; Endo Pharmaceuticals Inc; Twi Pharmaceuticals Inc; Usl Pharma Inc; West-Ward Pharmaceuticals International Ltd; Bristol Myers Squibb; Wockhardt Eu Operations (Swiss) Ag	-gest-	progestins	-gest-	1963	1971	L02AB01; G03AC05; G03DB02	L02AB01 [ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS: ENDOCRINE THERAPY: HORMONES AND RELATED AGENTS: Progestogens]; G03AC05 [GENITO URINARY SYSTEM AND SEX HORMONES: SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM: HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE: Progestogens]; G03DB02 [GENITO URINARY SYSTEM AND SEX HORMONES: SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM: PROGESTOGENS: Pregnadien derivatives]	Antineoplastic	US-6592903-B2	Natural Product-derived	Y	N	Single Stereoisomer	N	Y	N	N	N	Prescription-only				CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(=O)C
704872	CHEMBL1255891	"Narlaprevir (INN, USAN);"	2	SCH-900518		#NAME?	antivirals: serine protease inhibitors	#NAME?	2009						Synthetic Small Molecule	N	N	Single Stereoisomer	N	N	N	N	N	Unknown				CCCC[C@H](NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)NC3(CS(=O)(=O)C(C)(C)C)CCCCC3)C(C)(C)C)C2(C)C)C(=O)C(=O)NC4CC4
567425	CHEMBL1740	Racepinephrine HCl (USP); Racepinephrine (USP); Racepinefrine (INN);	0										Bronchodilator		Synthetic Small Molecule	Y	N	Racemic Mixture	N	N	N	N	N	Unknown				CNCC(O)c1ccc(O)c(O)c1
1027833	CHEMBL1603949	Bithionoloxide (INN);	0												Synthetic Small Molecule	N	N	Achiral Molecule	N	N	N	N	N	Unknown				Oc1c(Cl)cc(Cl)cc1[S+]([O-])c2cc(Cl)cc(Cl)c2O
906815	CHEMBL1482931	"Thymol Iodide (MI, NF);"	0												Synthetic Small Molecule	N	N	Achiral Molecule	N	N	N	N	N	Unknown				CC(C)c1cc(c(C)cc1OI)c2cc(C(C)C)c(OI)cc2C
