MOLECULE_CHEMBL_ID	MOLECULE_NAME	MOLECULE_TYPE	FIRST_APPROVAL	ATC_CODE	ATC_CODE_DESCRIPTION	USAN_STEM	MECHANISM_OF_ACTION	MECHANISM_COMMENT	SELECTIVITY_COMMENT	TARGET_CHEMBL_ID	TARGET_NAME	ACTION_TYPE	ORGANISM	TARGET_TYPE	SITE_NAME	BINDING_SITE_COMMENT	MECHANISM_REFS	CANONICAL_SMILES
CHEMBL1615438	Levocabastine	Small molecule	1993	R01AC02; S01GX02	R01AC02 [RESPIRATORY SYSTEM: NASAL PREPARATIONS: DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE: Antiallergic agents, excl. corticosteroids]; S01GX02 [SENSORY ORGANS: OPHTHALMOLOGICALS: DECONGESTANTS AND ANTIALLERGICS: Other antiallergics]	-astine	Histamine H1 receptor antagonist			CHEMBL231	Histamine H1 receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=420b3f66-87f0-47d8-947c-541e84eb594a, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=420b3f66-87f0-47d8-947c-541e84eb594a	C[C@@H]1CN(CC[C@]1(C(=O)O)c2ccccc2)[C@@H]3CC[C@@](CC3)(C#N)c4ccc(F)cc4
CHEMBL1200951	Fluphenazine Enanthate	Small molecule	1967	N05AB02	N05AB02 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANTIPSYCHOTICS: Phenothiazines with piperazine structure]		Dopamine D2 receptor antagonist			CHEMBL217	Dopamine D2 receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:PubMed, SrcID:11873706, URL:http://europepmc.org/abstract/MED/11873706|Name:PubMed, SrcID:7508675, URL:http://europepmc.org/abstract/MED/7508675|Name:Wikipedia, SrcID:Antipsychotic#Mechanism_of_action, URL:http://en.wikipedia.org/wiki/Antipsychotic#Mechanism_of_action|Name:PubMed, SrcID:7828655, URL:http://europepmc.org/abstract/MED/7828655	CCCCCCC(=O)OCCN1CCN(CCCN2c3ccccc3Sc4ccc(cc24)C(F)(F)F)CC1
CHEMBL570	Triflupromazine	Small molecule	1957	N05AA05	N05AA05 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANTIPSYCHOTICS: Phenothiazines with aliphatic side-chain]		Dopamine D2 receptor antagonist			CHEMBL217	Dopamine D2 receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:KEGG, SrcID:D00390, URL:http://www.kegg.jp/dbget-bin/www_bget?dr:D00390|Name:PubMed, SrcID:1678146, URL:http://europepmc.org/abstract/MED/1678146|Name:Wikipedia, SrcID:Antipsychotic#Mechanism_of_action, URL:http://en.wikipedia.org/wiki/Antipsychotic#Mechanism_of_action|Name:Other, SrcID:http://neurolex.org/wiki/Category:Triflupromazine, URL:http://neurolex.org/wiki/Category:Triflupromazine|Name:PubMed, SrcID:497523, URL:http://europepmc.org/abstract/MED/497523|Name:PubMed, SrcID:239403, URL:http://europepmc.org/abstract/MED/239403	CN(C)CCCN1c2ccccc2Sc3ccc(cc13)C(F)(F)F
CHEMBL27	Propranolol	Small molecule	1967	C07AA05	C07AA05 [CARDIOVASCULAR SYSTEM: BETA BLOCKING AGENTS: BETA BLOCKING AGENTS: Beta blocking agents, non-selective]	-olol	Beta-1 adrenergic receptor antagonist			CHEMBL213	Beta-1 adrenergic receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=fce692df-1e68-465e-8dda-0cb01320608c, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=fce692df-1e68-465e-8dda-0cb01320608c|Name:Wikipedia, SrcID:Propranolol, URL:http://en.wikipedia.org/wiki/Propranolol	CC(C)NCC(O)COc1cccc2ccccc12
CHEMBL13	Metoprolol	Small molecule	1978	C07AB02	C07AB02 [CARDIOVASCULAR SYSTEM: BETA BLOCKING AGENTS: BETA BLOCKING AGENTS: Beta blocking agents, selective]	-olol	Beta-1 adrenergic receptor antagonist			CHEMBL213	Beta-1 adrenergic receptor	ANTAGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=31d8610a-ab22-49e5-a762-6b08244ee93a, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=31d8610a-ab22-49e5-a762-6b08244ee93a|Name:DailyMed, SrcID:setid=f3817543-544a-4afa-ac7c-c1b48c1307c2, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=f3817543-544a-4afa-ac7c-c1b48c1307c2	COCCc1ccc(OCC(O)CNC(C)C)cc1
CHEMBL1112	Aripiprazole	Small molecule	2002	N05AX12	N05AX12 [NERVOUS SYSTEM: PSYCHOLEPTICS: ANTIPSYCHOTICS: Other antipsychotics]	-prazole	Serotonin 1a (5-HT1a) receptor partial agonist			CHEMBL214	Serotonin 1a (5-HT1a) receptor	PARTIAL AGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=c040bd1d-45b7-49f2-93ea-aed7220b30ac#nlm34090-1, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c040bd1d-45b7-49f2-93ea-aed7220b30ac#nlm34090-1	Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl
CHEMBL1388	Monobenzone	Small molecule	1952	D11AX13	D11AX13 [DERMATOLOGICALS: OTHER DERMATOLOGICAL PREPARATIONS: OTHER DERMATOLOGICAL PREPARATIONS: Other dermatologicals]		Tyrosinase inhibitor			CHEMBL1973	Tyrosinase	INHIBITOR	Homo sapiens	SINGLE PROTEIN			Name:PubMed, SrcID:19159217, URL:http://europepmc.org/abstract/MED/19159217	Oc1ccc(OCc2ccccc2)cc1
CHEMBL1201635	Insulin Susp Isophane Beef/Pork	Protein	1966				Insulin receptor agonist			CHEMBL1981	Insulin receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:FDA, SrcID:label/2015/022472s006s008lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/022472s006s008lbl.pdf|Name:DailyMed, SrcID:setid=457531f0-9331-47fe-90b5-b31f284044dc, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=457531f0-9331-47fe-90b5-b31f284044dc	
CHEMBL1201538	Insulin Lispro	Protein	1996	A10AC04; A10AB04	A10AC04 [ALIMENTARY TRACT AND METABOLISM: DRUGS USED IN DIABETES: INSULINS AND ANALOGUES: Insulins and analogues for injection, intermediate-acting]; A10AB04 [ALIMENTARY TRACT AND METABOLISM: DRUGS USED IN DIABETES: INSULINS AND ANALOGUES: Insulins and analogues for injection, fast-acting]		Insulin receptor agonist			CHEMBL1981	Insulin receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:DailyMed, SrcID:setid=c8ecbd7a-0e22-4fc7-a503-faa58c1b6f3f, URL:http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=c8ecbd7a-0e22-4fc7-a503-faa58c1b6f3f	
CHEMBL1505	Almotriptan	Small molecule	2001	N02CC05	N02CC05 [NERVOUS SYSTEM: ANALGESICS: ANTIMIGRAINE PREPARATIONS: Selective serotonin (5HT1) agonists]	-triptan	Serotonin 1d (5-HT1d) receptor agonist		Selective	CHEMBL1983	Serotonin 1d (5-HT1d) receptor	AGONIST	Homo sapiens	SINGLE PROTEIN			Name:FDA, SrcID:label/2009/021001s010s011lbl.pdf, URL:http://www.accessdata.fda.gov/drugsatfda_docs/label/2009/021001s010s011lbl.pdf	CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12
