MOLECULE_CHEMBL_ID	MOLECULE_NAME	MOLECULE_TYPE	FIRST_APPROVAL	MESH_ID	MESH_HEADING	EFO_ID	EFO_NAME	MAX_PHASE_FOR_IND	USAN_YEAR	REFS
CHEMBL152067	Talinolol	Small molecule		D002318	CARDIOVASCULAR DISEASES	EFO:0000319	CARDIOVASCULAR DISEASE	4		ATC$$C07AB13$$http://www.whocc.no/atc_ddd_index/?code=C07AB13
CHEMBL134561	Iclaprim	Small molecule		D007239	INFECTION	EFO:0000544	INFECTION	3	2008	ClinicalTrials$$NCT02607618,NCT02600611$$https://clinicaltrials.gov/search?id=%22NCT02607618%22OR%22NCT02600611%22
CHEMBL1201476	Enoxaparin Sodium	Oligosaccharide	1993	D009369	NEOPLASMS	EFO:0000616	NEOPLASM	3	1995	ClinicalTrials$$NCT00723216$$https://clinicaltrials.gov/search?id=%22NCT00723216%22
CHEMBL1201476	Enoxaparin Sodium	Oligosaccharide	1993	D008103	LIVER CIRRHOSIS	EFO:0001422	CIRRHOSIS OF LIVER	3	1995	ClinicalTrials$$NCT02271295$$https://clinicaltrials.gov/search?id=%22NCT02271295%22
CHEMBL1200689	Nitric Oxide	Small molecule	1999	D006333	HEART FAILURE	EFO:0000373	CONGESTIVE HEART FAILURE	2		ClinicalTrials$$NCT00060840$$https://clinicaltrials.gov/search?id=%22NCT00060840%22
CHEMBL1200689	Nitric Oxide	Small molecule	1999	D000740	ANEMIA	EFO:0004272	ANEMIA	1		ClinicalTrials$$NCT02851472$$https://clinicaltrials.gov/search?id=%22NCT02851472%22
CHEMBL1200689	Nitric Oxide	Small molecule	1999	D003668	PRESSURE ULCER	EFO:0007067	DECUBITUS ULCER	1		ClinicalTrials$$NCT00771368,NCT01351493$$https://clinicaltrials.gov/search?id=%22NCT00771368%22OR%22NCT01351493%22
CHEMBL1200689	Nitric Oxide	Small molecule	1999	D009203	MYOCARDIAL INFARCTION	EFO:0000612	MYOCARDIAL INFARCTION	2		ClinicalTrials$$NCT00568061,NCT00854711,NCT01398384$$https://clinicaltrials.gov/search?id=%22NCT00568061%22OR%22NCT00854711%22OR%22NCT01398384%22
CHEMBL395429	Oxytocin	Protein	1980	D011218	PRADER-WILLI SYNDROME	Orphanet:739	PRADER-WILLI SYNDROME	2		ClinicalTrials$$NCT02629991,NCT02013258,NCT02205034,NCT01548521,NCT01038570,NCT02804373$$https://clinicaltrials.gov/search?id=%22NCT02629991%22OR%22NCT02013258%22OR%22NCT02205034%22OR%22NCT01548521%22OR%22NCT01038570%22OR%22NCT02804373%22
CHEMBL395429	Oxytocin	Protein	1980	D057180	FRONTOTEMPORAL DEMENTIA	Orphanet:282	FRONTOTEMPORAL DEMENTIA	2		ClinicalTrials$$NCT01937013,NCT01386333$$https://clinicaltrials.gov/search?id=%22NCT01937013%22OR%22NCT01386333%22
CHEMBL395429	Oxytocin	Protein	1980	D005600	FRAGILE X SYNDROME	Orphanet:908	FRAGILE X SYNDROME	2		ClinicalTrials$$NCT01254045$$https://clinicaltrials.gov/search?id=%22NCT01254045%22
